,summary,,velocity,security,quality,resilience,description
,App can be run end-to-end locally,,1,,,,"""End-to-end"" here means the frontend, backend, and database can be easily spun up so anyone can test the app locally. This can be achieved quite easily using docker-compose."
,"Testing and QA can be performed on an environment isolated from development, and isolated from production.",,1,1,,,"This is normally achieved by having three separate environments: dev (for developers to control), test (for QAs to control and test in), and prod (for the PO to control and push new releases to)."
,Front-end branches can be manually tested in an isolated environment,,4,,,,"This is often referred to as ""feature-branch testing"""
,Back-end branches can be manually tested in an isolated environment,,4,,,,"This is often referred to as ""feature-branch testing"""
,Architecture changes can be manually tested in an isolated environment,,4,,4,,"This is often referred to as ""feature-branch testing"""
,Any internals of the production environment are not accessible from other environments,,,2,,,This includes database servers and logs.
,Pushing to any branch or merging a PR requires project membership,,,2,,,
,Any code deployed to production must have been approved by at least one other person other than the author of the code,,,3,,,Just requiring a single approval on all PRs fulfils this requirement
,Production deployments can only be performed by an admin user,,,3,,,"A good approach to this is to only allow deployments from your CI server (e.g. GitHub Actions), and make sure that an admin approval is required for any PR that would start a deployment to prod."
,Access to all infrastructure requires 2FA,,,2,,,If you are using a client mandated platform which does not support 2FA then this is N/A
,Access to all infrastructure requires specific user credentials (rather than a shared key),,,2,,,There should be no shared accounts or keys for accessing infrastructure
,Production data storage is only accessible to an admin user,,,3,,,"Production ""state"" here refers to databases, sessions state (e.g. Redis), or message brokers."
,Production architecture is only accessible to a production administrator,,,3,,,Production administrators must be agreed upon by the client
,Production logs are only accessible to production administrators,,,3,,,
,"Production backups, including logs, require production administrator permission to access",,,4,,,Production administrators must be agreed upon by the client and may include all developers.
,Production backups are replicated to separate data-store requiring super-admin permissions,,,4,,4,
,"All infrastructure, including backups and logs, are only accessible to explicitly approved users.",,,2,,,"The idea here is to make sure only developers of a project can access the infrastructure of that project, as a minimum standard."
,Any accounts with access to production data or infrastructure must be recorded in a single location. This record must include the level of access each account has.,,,4,,,
,Accounts are granted infrastructure access automatically through infrastructure-as-code,,,4,,,
,"Internal services, including databases, are only accessible from other services within this app",,,1,,,"This can be achieved using a private subnet in AWS and making sure only your load-balancer is in the public subnet. In OpenShift, make sure there are no routes into any services which should not be accessed by application users."
,"All production infrastructure access is logged, including the user who performed the access",,,3,,,
,Dependencies all target specific minor release versions,,1,,,,
,All app dependencies are automatically analysed for vulnerabilities,,,2,,,
,All infrastructure components are automatically analysed for vulnerabilities,,,4,,,
,"Credentials, including database passwords and keys, are not stored anywhere in source control history, and are instead stored in a suitable secrets vault.",,,1,,,A good example this is using https://docs.github.com/en/free-pro-team@latest/actions/reference/encrypted-secrets to inject any such passwords and keys as part of continuous deployment.
,"Secrets on mobile apps must not be reasonably accessible, even on jailbroken devices.",,,2,,,"API/SDK keys/passwords are stored in a way that they cannot be reasonably accessed, even on jailbroken devices (e.g. the keys aren't stored as plain text such that running `strings` on the binary will return the key)."
,"End-to-end tests utilise the ZAP proxy, and a ZAP alert is considered a test failure",,,4,,,
,Every release build must pass a ZAP automated scan,,,2,,,
,All major production releases have been manually penetration tested by someone with appropriate security training. This can be an internal FreshWorks team member or a third party.,,,4,,,
,All environments only expose ports 80 and 443 publicly. Only a bastion host may expose a single extra port.,,,1,,,
,All access to unsecured HTTP is redirected to an HTTPS endpoint,,,1,,,
,"If a security certificate is about to expire, an alert will be raised.",,1,,1,,
,All security certificates are automatically renewed,,2,,,,
,"All data in transit must be encrypted. The minimum standard for this encryption is Mozilla's ""Intermediate"" or above.",,,1,,,
,"All data at rest must be encrypted. The minimum standard for this encryption is Mozilla's ""acceptable"" or above.",,,1,,,
,"Mobile apps store logs encrypted on-device, which are then sent by the user and decrypted by FreshWorks.",,,,,3,
,User visible error messages contain no technical information,,,1,1,,
