summary,,velocity,security,quality,resilience,description
App runs end-to-end locally,,200,,,,"""End-to-end"" here means the frontend, backend, and database can be easily spun up so anyone can test the app locally. This can be achieved quite easily using docker-compose.
The aim here is to decrease the amount of time it takes to test new code. Pushing code to a dev environment in order to test it is slow and can disrupt other developers."
CI/CD pipeline created,,100,,,,
Test environment exists,,100,25,,,QAs should be able to test features in isolation from the development environment.
Staging environment exists,,50,25,,,POs/BAs should be able to test features in isolation from the dev and test environments.
Pushing to any branch or merging a PR requires project membership,,,50,,,"Could any FreshWorks employee push code to your repo? Or any other non-project member? If so, please restrict project membership."
Production is not accessible from non-production environments,,,50,,,"Easy solution is to keep them in separate VPCs (if on AWS). Alternatively, entirely separate accounts for dev/test/staging vs. production is a good solution. If on OpenShift, please be careful with cross-namespace access in network config."
Any code deployed to production must have been approved by at least one other person other than the author of the code,,,25,,,Just requiring a single approval on all PRs fulfils this requirement. We don't want people yolo-merging into prod.
Production deployments can only be performed by an admin user,,,50,,,"A good approach to this is to only allow deployments from your CI server (e.g. GitHub Actions), and make sure that an admin approval is required for any PR that would start a deployment to prod. I would recommend having all developers being 'admin's for any early stage projects."
Access to all infrastructure requires 2FA,,,100,,,"If you are using a client mandated platform which does not support 2FA then this is N/A. However, if not, please get some 2FA going!"
Access to all infrastructure requires specific user credentials (rather than a shared key),,,100,,,There should be no shared accounts or keys for accessing infrastructure.
Production data storage is only accessible to a production administrator,,,25,,,"Production ""state"" here refers to databases, sessions state (e.g. Redis), or message brokers."
Production architecture is only accessible to a production administrator,,,25,,,"Accessing production architecture is, e.g. logging into the AWS or OpenShift console with write permissions."
Production logs are only accessible to production administrators,,,25,,,
"Production backups, including logs, require production administrator permission to access",,,25,,,Production administrators must be agreed upon by the client and may include all developers.
Accounts are granted infrastructure access automatically through infrastructure-as-code,,,100,,,This is great for compliance auditing. If your user access is managed by an external entity e.g. BC Gov OCIO team managing access to OpenShift then this is N/A.
"Internal services, including databases, are only accessible from other services within this app",,,200,,,"This can be achieved using a private subnet in AWS and making sure only your load-balancer is in the public subnet. In OpenShift, make sure there are no routes into any services which should not be accessed by application users."
"All production infrastructure access is logged, including the user who performed the access",,,200,,,"Can be done using CloudTrail in AWS. This information may be logged by the infrastructure provider, e.g. OCIO logs this for you if you are on their OpenShift cluster."
Dependencies all target specific minor release versions,,25,,,,"Reproducible builds are important, and library version bumps should be done as part of a release process just like other code changes."
All app dependencies are automatically analysed for vulnerabilities,,,100,,,"Fancy stuff, not something we have the tooling for at the moment though."
All infrastructure components are automatically analysed for vulnerabilities,,,100,,,
